日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
107/09/06,"7,921,599","2,932,468,818",368.00,386.00,357.00,384.00,+10.00,"6,426"
107/09/07,"4,013,437","1,500,476,438",376.00,382.00,367.00,369.00,-15.00,"3,342"
107/09/10,"7,780,410","2,728,977,400",369.00,369.00,336.00,336.00,-33.00,"6,174"
107/09/11,"7,419,261","2,574,735,721",336.00,360.00,335.50,357.00,+21.00,"6,104"
107/09/12,"5,860,981","2,038,772,907",355.00,356.00,339.00,346.50,-10.50,"4,743"
107/09/13,"7,270,545","2,440,094,895",346.00,353.50,323.00,329.50,-17.00,"6,180"
107/09/14,"6,436,470","2,177,415,270",337.00,346.00,329.00,338.00,+8.50,"5,235"
107/09/17,"5,563,391","1,828,771,676",331.00,336.00,320.50,335.50,-2.50,"4,670"
107/09/18,"7,603,869","2,413,749,866",327.00,328.50,309.00,313.00,-22.50,"6,394"
107/09/19,"4,527,495","1,420,626,445",318.00,321.00,306.50,306.50,-6.50,"3,779"
107/09/20,"6,483,010","1,961,020,660",310.00,311.50,294.00,306.50, 0.00,"5,322"
107/09/21,"10,946,801","3,257,712,800",300.00,304.50,289.50,300.00,-6.50,"8,389"
107/09/25,"6,719,495","2,085,256,900",306.00,319.50,297.00,312.00,+12.00,"5,595"
107/09/26,"5,620,790","1,792,774,410",316.50,323.00,313.00,323.00,+11.00,"4,634"
107/09/27,"8,015,159","2,599,404,152",317.00,335.00,314.50,319.00,-4.00,"6,675"
107/09/28,"6,217,656","2,001,718,388",324.00,329.50,316.50,317.00,-2.00,"5,277"
107/10/01,"2,368,824","757,961,328",316.00,323.00,316.00,322.00,+5.00,"2,107"
107/10/02,"3,532,401","1,140,735,122",326.00,329.50,317.00,317.00,-5.00,"2,976"
107/10/03,"8,398,044","2,519,123,172",313.00,318.00,285.50,285.50,-31.50,"6,998"
107/10/04,"8,606,079","2,420,097,252",277.00,287.50,271.00,287.50,+2.00,"6,662"
107/10/05,"9,199,900","2,461,824,347",280.00,282.00,259.00,263.00,-24.50,"6,689"
107/10/08,"7,320,578","1,895,047,124",250.50,268.00,250.00,253.50,-9.50,"5,752"
107/10/09,"11,772,611","2,880,671,305",253.00,256.00,231.50,255.00,+1.50,"9,474"
107/10/11,"4,944,892","1,157,567,706",232.50,241.00,229.50,229.50,-25.50,"3,700"
107/10/12,"8,260,755","1,928,226,700",226.00,242.00,224.00,232.00,+2.50,"6,402"
107/10/15,"5,278,223","1,234,435,797",228.50,239.00,225.50,239.00,+7.00,"4,275"
107/10/16,"7,030,089","1,657,261,271",237.00,243.50,226.50,231.50,-7.50,"5,680"
107/10/17,"5,252,386","1,241,453,015",240.00,242.50,231.00,234.50,+3.00,"4,166"
107/10/18,"9,394,693","2,133,764,186",234.50,240.00,213.50,222.00,-12.50,"7,652"
107/10/19,"12,622,798","2,761,096,530",215.00,233.00,208.00,233.00,+11.00,"9,726"
107/10/22,"10,924,245","2,497,708,625",230.00,235.00,222.00,224.50,-8.50,"8,594"
107/10/23,"7,301,988","1,632,472,360",220.00,228.50,218.50,220.00,-4.50,"5,875"
107/10/24,"11,523,186","2,629,754,780",224.50,237.50,220.00,225.00,+5.00,"9,148"
107/10/25,"10,325,987","2,180,477,296",210.50,218.00,203.50,208.00,-17.00,"8,191"
107/10/26,"10,257,440","2,189,070,840",215.00,217.50,208.00,208.50,+0.50,"7,907"
107/10/29,"11,047,769","2,263,861,103",211.00,213.50,194.00,209.50,+1.00,"8,364"
107/10/30,"9,743,931","1,969,892,838",210.00,211.00,197.00,197.00,-12.50,"7,570"
107/10/31,"9,931,790","2,026,044,680",202.00,208.50,200.00,200.00,+3.00,"7,232"
107/11/01,"9,058,922","1,910,421,340",200.00,220.00,197.00,220.00,+20.00,"6,661"
107/11/02,"18,445,327","4,173,408,940",227.00,238.00,214.00,220.00, 0.00,"14,099"
107/11/05,"9,336,319","2,033,080,180",215.00,224.50,211.50,218.00,-2.00,"7,233"
107/11/06,"18,799,172","3,975,068,416",220.00,230.00,196.50,196.50,-21.50,"14,475"
107/11/07,"24,494,876","4,976,803,216",197.50,216.00,191.00,216.00,+19.50,"17,533"
107/11/08,"15,024,961","3,260,135,654",224.00,226.00,208.00,210.00,-6.00,"11,140"
107/11/09,"10,425,528","2,164,782,436",210.00,213.50,201.50,209.50,-0.50,"8,092"
107/11/12,"11,747,585","2,365,961,874",207.00,209.00,197.50,198.00,-11.50,"8,958"
107/11/13,"9,658,772","1,815,787,540",183.00,195.00,181.50,193.50,-4.50,"7,317"
107/11/14,"8,902,555","1,723,226,170",196.00,198.50,190.00,191.00,-2.50,"6,552"
107/11/15,"8,127,547","1,544,667,936",191.00,195.00,185.00,195.00,+4.00,"6,311"
